Apartment,Address,Price,Beds,Amenities
Cortland Santos Flats,"8733 Rooks Park Cir, Tampa, FL 33619","$1,700 - $5,578",1-3 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'In Unit Washer & Dryer']"
Asher,"1050 Water St, Tampa, FL 33602","$1,899 - $7,748",Studio - 2 Beds,"['Fitness Center', 'Pool', 'Dishwasher', 'Refrigerator']"
The MAV,"601 N 12th St, Tampa, FL 33602","$2,180 - $4,753",Studio - 2 Beds,"['Pets Allowed', 'Fitness Center', 'In Unit Washer & Dryer', 'Walk-In Closets']"
Asbury,"4530 Leeward Ridge Dr, Tampa, FL 33619","$1,672 - $3,086",1-3 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'In Unit Washer & Dryer']"
Park Place at Tampa,"3400 Park Sq E, Tampa, FL 33613","$950 - $1,930",Studio - 5 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'Walk-In Closets']"
Niche,"1116 W Carmen St, Tampa, FL 33606","$1,555 - $2,945",Studio - 3 Beds,"['Pets Allowed', 'Pool', 'In Unit Washer & Dryer', 'Stainless Steel Appliances']"
NOVEL Beach Park by Crescent Communities,"5450 Bay Center Dr, Tampa, FL 33609","$2,370 - $6,150",Studio - 3 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'Dishwasher', 'Refrigerator']"
Manor Riverside,"901 W Chestnut St, Tampa, FL 33607","$2,378 - $4,919",Studio - 3 Beds,"['Pets Allowed', 'Kitchen', 'Maintenance on site', 'Heat']"
Marlowe South Tampa,"7210 Interbay Blvd, Tampa, FL 33616","$1,740 - $3,880",Studio - 3 Beds,"['Pets Allowed', 'Fitness Center', 'Dishwasher', 'In Unit Washer & Dryer']"
The Galvin,"10215 Estuary Lakes Dr, Tampa, FL 33619","$1,726 - $3,625",Studio - 3 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'In Unit Washer & Dryer']"
Monterey Townhomes,"3421 W Arch St, Tampa, FL 33607","$3,899 - $5,212",3-4 Beds,"['Pets Allowed', 'In Unit Washer & Dryer', 'Stainless Steel Appliances']"
Willow Brooke Apartments,"14417 Hellenic Dr, Tampa, FL 33613","$1,206 - $1,469",1-2 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'Dishwasher', 'Refrigerator']"
Parc Place Villas,"6919 Bonair Dr, Tampa, FL 33617","$1,050 - $1,400",1-2 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'Dishwasher', 'Refrigerator']"
Bell Channelside,"1120 E Twiggs St, Tampa, FL 33602","$2,045 - $4,099",1-3 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'In Unit Washer & Dryer']"
The Slade at Channelside,"1190 E Washington St, Tampa, FL 33602","$2,144 - $4,054",Studio - 3 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'Dishwasher', 'Refrigerator']"
